"code_rome","riasec_majeur","riasec_mineur"
"A1101","R","I"
"A1201","R","C"
"A1202","R","E"
"A1203","R","C"
"A1204","C","I"
"A1205","R","C"
"A1301","C","R"
"A1302","C","R"
"A1303","I","C"
"A1401","R","C"
"A1402","R","C"
"A1403","R",""
"A1404","R","C"
"A1405","R","C"
"A1406","C","R"
"A1407","R","C"
"A1408","R","C"
"A1409","R","C"
"A1410","R","C"
"A1411","R","C"
"A1412","R","C"
"A1413","C","R"
"A1414","R","C"
"A1415","R","C"
"A1416","R","C"
"A1417","R","C"
"A1501","R","C"
"A1502","R","S"
"A1503","R","I"
"A1504","R","C"
"B1101","A","R"
"B1201","R","A"
"B1301","R","C"
"B1302","R","A"
"B1303","R","A"
"B1401","R","C"
"B1402","R","A"
"B1501","R","A"
"B1601","R","A"
"B1602","R","A"
"B1603","R","A"
"B1604","R","C"
"B1701","R","A"
"B1801","R","A"
"B1802","R","I"
"B1803","R","A"
"B1804","R","A"
"B1805","A","E"
"B1806","R","A"
"C1101","E","C"
"C1102","C","E"
"C1103","C","E"
"C1104","C","E"
"C1105","C","I"
"C1106","C","I"
"C1107","C","I"
"C1108","C","E"
"C1109","C","S"
"C1110","C","E"
"C1201","C","S"
"C1202","C","E"
"C1203","E","C"
"C1204","E","C"
"C1205","C","E"
"C1206","E","C"
"C1207","C","E"
"C1301","C","E"
"C1302","C","E"
"C1303","C","E"
"C1401","C","S"
"C1501","E","C"
"C1502","C","E"
"C1503","E","C"
"C1504","E","C"
"D1101","R","C"
"D1102","R","C"
"D1103","R","C"
"D1104","R","C"
"D1105","R","C"
"D1106","R","C"
"D1107","C","E"
"D1201","C","A"
"D1202","R","A"
"D1203","R","C"
"D1204","C","S"
"D1205","R","C"
"D1206","R","C"
"D1207","R","C"
"D1208","R","S"
"D1209","R","C"
"D1210","C","R"
"D1211","C","R"
"D1212","R",""
"D1213","C","E"
"D1214","C","R"
"D1301","C","E"
"D1401","C","E"
"D1402","E","S"
"D1403","E","S"
"D1404","E","S"
"D1405","E","C"
"D1406","E","C"
"D1407","E","C"
"D1408","E","S"
"D1501","E","C"
"D1502","C","E"
"D1503","C","E"
"D1504","E","C"
"D1505","C","R"
"D1506","E","C"
"D1507","C","R"
"D1508","C","R"
"D1509","E","C"
"E1101","C","I"
"E1102","A","C"
"E1103","C","E"
"E1104","I","E"
"E1105","A","E"
"E1106","E",""
"E1107","E","C"
"E1108","A","E"
"E1201","A","R"
"E1202","R","C"
"E1203","R","C"
"E1204","R","C"
"E1205","A","R"
"E1301","R","C"
"E1302","R","C"
"E1303","R","C"
"E1304","R","C"
"E1305","C","I"
"E1306","R","C"
"E1307","R",""
"E1308","C","R"
"E1401","E","C"
"E1402","E","A"
"F1101","R","E"
"F1102","R","C"
"F1103","R","C"
"F1104","R","C"
"F1105","R","I"
"F1106","R","C"
"F1107","R","C"
"F1108","C","R"
"F1201","C","R"
"F1202","C","R"
"F1203","C","R"
"F1204","C","E"
"F1301","R","C"
"F1302","R","C"
"F1401","R","C"
"F1402","R","E"
"F1501","R","E"
"F1502","R","E"
"F1503","R","C"
"F1601","R","A"
"F1602","R","C"
"F1603","R","S"
"F1604","R","S"
"F1605","R","C"
"F1606","R","A"
"F1607","R","C"
"F1608","R","S"
"F1609","R","C"
"F1610","R","A"
"F1611","R","E"
"F1612","R","A"
"F1613","R","C"
"F1701","R","E"
"F1702","R","E"
"F1703","R","S"
"F1704","R","C"
"F1705","R","C"
"F1706","R","C"
"G1101","C","S"
"G1102","E","C"
"G1201","S","C"
"G1202","S","E"
"G1203","S","C"
"G1204","S","R"
"G1205","R","C"
"G1206","C","R"
"G1301","E","C"
"G1302","E","C"
"G1303","C","E"
"G1401","C","E"
"G1402","C","E"
"G1403","E","R"
"G1404","C","R"
"G1501","R","C"
"G1502","R","C"
"G1503","C","E"
"G1601","C","R"
"G1602","R","C"
"G1603","R","C"
"G1604","R","C"
"G1605","R","C"
"G1701","C","S"
"G1702","R",""
"G1703","C","E"
"G1801","R","C"
"G1802","C","E"
"G1803","R","E"
"G1804","E","C"
"H1101","C","R"
"H1102","E","C"
"H1201","C","R"
"H1202","C","R"
"H1203","R",""
"H1204","E","A"
"H1205","R","A"
"H1206","C","I"
"H1207","C","E"
"H1208","R","C"
"H1209","R","I"
"H1210","R","C"
"H1301","C","R"
"H1302","R",""
"H1303","C","R"
"H1401","C","R"
"H1402","R","C"
"H1403","C","R"
"H1404","R","C"
"H1501","C","R"
"H1502","C","R"
"H1503","C","I"
"H1504","R","C"
"H1505","I","E"
"H1506","C","R"
"H2101","R","C"
"H2102","R","C"
"H2201","R","C"
"H2202","R","C"
"H2203","R","C"
"H2204","R","C"
"H2205","R","C"
"H2206","R","A"
"H2207","R","A"
"H2208","R","A"
"H2209","C","R"
"H2301","C","R"
"H2401","R","A"
"H2402","R","A"
"H2403","R","C"
"H2404","C","R"
"H2405","R","C"
"H2406","R","C"
"H2407","R","C"
"H2408","R","A"
"H2409","R","C"
"H2410","R","C"
"H2411","R","C"
"H2412","R","C"
"H2413","R","C"
"H2414","R","C"
"H2415","C","R"
"H2501","C","R"
"H2502","C","R"
"H2503","C","R"
"H2504","C","R"
"H2505","R","C"
"H2601","R","C"
"H2602","R","I"
"H2603","R","C"
"H2604","R","C"
"H2605","R","C"
"H2701","R","C"
"H2801","R","C"
"H2802","R","C"
"H2803","R","C"
"H2804","R","C"
"H2805","R","C"
"H2901","R","C"
"H2902","R","C"
"H2903","R","C"
"H2904","R","C"
"H2905","R","C"
"H2906","R","C"
"H2907","R","C"
"H2908","R","C"
"H2909","R","C"
"H2910","R","C"
"H2911","R","C"
"H2912","R","C"
"H2913","R","C"
"H2914","R","C"
"H3101","R","C"
"H3102","R","C"
"H3201","R","C"
"H3202","R","C"
"H3203","R","C"
"H3301","R","C"
"H3302","R","C"
"H3303","R","C"
"H3401","R","C"
"H3402","R","C"
"H3403","R","C"
"H3404","R","C"
"I1101","C","R"
"I1102","C","R"
"I1103","C","E"
"I1201","R","C"
"I1202","C","R"
"I1203","R","C"
"I1301","R","C"
"I1302","R","C"
"I1303","R","C"
"I1304","R","C"
"I1305","R","C"
"I1306","R","C"
"I1307","R","C"
"I1308","R","C"
"I1309","R","C"
"I1310","R","C"
"I1401","R","C"
"I1402","R","C"
"I1501","R","C"
"I1502","R","C"
"I1503","R","C"
"I1601","R","C"
"I1602","R","C"
"I1603","R","C"
"I1604","R","C"
"I1605","R","C"
"I1606","R","C"
"I1607","R","C"
"J1101","S","I"
"J1102","I","C"
"J1103","I","R"
"J1104","S","I"
"J1201","C","I"
"J1202","C","S"
"J1301","C","R"
"J1302","C","R"
"J1303","C","R"
"J1304","S","R"
"J1305","R","C"
"J1306","R","C"
"J1307","C","R"
"J1401","S","C"
"J1402","S","I"
"J1403","S","R"
"J1404","S","R"
"J1405","C","S"
"J1406","S","I"
"J1407","S","I"
"J1408","S","R"
"J1409","S","C"
"J1410","R","I"
"J1411","R","I"
"J1412","S","I"
"J1501","R",""
"J1502","C","E"
"J1503","S","C"
"J1504","R",""
"J1505","S","C"
"J1506","S","R"
"J1507","S","C"
"K1101","S","I"
"K1102","S","C"
"K1103","S","I"
"K1104","S","I"
"K1201","S","C"
"K1202","S","E"
"K1203","C","S"
"K1204","S","C"
"K1205","S","C"
"K1206","E","S"
"K1207","S","I"
"K1301","S","I"
"K1302","S","C"
"K1303","S","R"
"K1304","R","S"
"K1305","S","C"
"K1401","E","C"
"K1402","C","E"
"K1403","E","C"
"K1404","E","C"
"K1405","E","C"
"K1501","C","I"
"K1502","C","E"
"K1503","C","S"
"K1504","C","S"
"K1505","C","R"
"K1601","C","E"
"K1602","A","C"
"K1701","C","R"
"K1702","R","E"
"K1703","E","C"
"K1704","R","C"
"K1705","R","S"
"K1706","C","R"
"K1707","C","R"
"K1801","S","E"
"K1802","E","S"
"K1901","C","E"
"K1902","C","E"
"K1903","C","S"
"K1904","C","I"
"K2101","S","I"
"K2102","C","S"
"K2103","C","S"
"K2104","S","C"
"K2105","S","A"
"K2106","S","C"
"K2107","S","C"
"K2108","S","I"
"K2109","S","C"
"K2110","S","R"
"K2111","S","E"
"K2112","S","E"
"K2201","R","C"
"K2202","C","R"
"K2203","C","E"
"K2204","R","C"
"K2301","R","C"
"K2302","C","R"
"K2303","R","C"
"K2304","R","E"
"K2305","R","C"
"K2306","R","C"
"K2401","I","E"
"K2402","I","C"
"K2501","C","R"
"K2502","C","R"
"K2503","C","R"
"K2601","R","C"
"K2602","C","E"
"K2603","C","R"
"L1101","A","R"
"L1102","R","A"
"L1103","A","S"
"L1201","A","R"
"L1202","A","S"
"L1203","A","E"
"L1204","A","R"
"L1301","A","E"
"L1302","E","C"
"L1303","C","E"
"L1304","A","C"
"L1401","E","R"
"L1501","A","R"
"L1502","R","A"
"L1503","R","A"
"L1504","R","A"
"L1505","R","A"
"L1506","R","A"
"L1507","A","R"
"L1508","R","A"
"L1509","C","R"
"L1510","A","R"
"M1101","C","E"
"M1102","E","C"
"M1201","E","I"
"M1202","C","I"
"M1203","C","E"
"M1204","E","C"
"M1205","E","C"
"M1206","C","E"
"M1207","C","E"
"M1301","E","I"
"M1302","E","C"
"M1401","I",""
"M1402","E","C"
"M1403","I","C"
"M1404","C","E"
"M1501","C","S"
"M1502","E","C"
"M1503","E","C"
"M1601","C","S"
"M1602","C","S"
"M1603","C","R"
"M1604","C","S"
"M1605","C","S"
"M1606","C","R"
"M1607","C","S"
"M1608","C","S"
"M1609","C","S"
"M1701","C","E"
"M1702","E","I"
"M1703","E","C"
"M1704","E","C"
"M1705","E","C"
"M1706","E","C"
"M1707","E","C"
"M1801","R",""
"M1802","I","C"
"M1803","E","C"
"M1804","R","I"
"M1805","I","R"
"M1806","I","C"
"M1807","R","C"
"M1808","C","I"
"M1809","R","C"
"M1810","R","C"
"N1101","R","C"
"N1102","R","C"
"N1103","R","C"
"N1104","R","C"
"N1105","R","C"
"N1201","C","E"
"N1202","C","E"
"N1301","C","E"
"N1302","E","C"
"N1303","C","E"
"N2101","R","C"
"N2102","R","C"
"N2201","C","S"
"N2202","C","R"
"N2203","R","C"
"N2204","C","E"
"N2205","E","C"
"N3101","R","E"
"N3102","R","E"
"N3103","R","C"
"N3201","C","E"
"N3202","C","E"
"N3203","R","C"
"N4101","R","C"
"N4102","R","C"
"N4103","R","C"
"N4104","R","C"
"N4105","R","C"
"N4201","E","C"
"N4202","E","C"
"N4203","C","R"
"N4204","C","R"
"N4301","R","C"
"N4302","C","S"
"N4401","C","R"
"N4402","R","C"
"N4403","R","C"
