REGION	CHEFLIEU	TNCC	NCC	NCCENR
01	97105	3	GUADELOUPE	Guadeloupe
02	97209	3	MARTINIQUE	Martinique
03	97302	3	GUYANE	Guyane
04	97411	0	LA REUNION	La Réunion
06	97608	0	MAYOTTE	Mayotte
11	75056	1	ILE-DE-FRANCE	Île-de-France
24	45234	2	CENTRE-VAL DE LOIRE	Centre-Val de Loire
27	21231	0	BOURGOGNE-FRANCHE-COMTE	Bourgogne-Franche-Comté
28	76540	0	NORMANDIE	Normandie
32	59350	2	NORD-PAS-DE-CALAIS-PICARDIE	Nord-Pas-de-Calais-Picardie
44	67482	1	ALSACE-CHAMPAGNE-ARDENNE-LORRAINE	Alsace-Champagne-Ardenne-Lorraine
52	44109	4	PAYS DE LA LOIRE	Pays de la Loire
53	35238	0	BRETAGNE	Bretagne
75	33063	1	AQUITAINE-LIMOUSIN-POITOU-CHARENTES	Aquitaine-Limousin-Poitou-Charentes
76	31555	2	LANGUEDOC-ROUSSILLON-MIDI-PYRENEES	Languedoc-Roussillon-Midi-Pyrénées
84	69123	1	AUVERGNE-RHONE-ALPES	Auvergne-Rhône-Alpes
93	13055	0	PROVENCE-ALPES-COTE D'AZUR	Provence-Alpes-Côte d'Azur
94	2A004	0	CORSE	Corse
